ebn0_db,worker_id,frame_idx,legacy_success,legacy_detected_failure,success_exact,valid_codeword,undetected_error,stop_iteration,final_syndrome_weight,runtime_ms
8.0,18,0,1,0,1,1,0,4,0,50.59821717441082
8.0,18,1,0,1,0,0,0,12,138,29.55898898653686
8.0,18,2,0,1,0,0,0,12,129,29.618087923154235
8.0,18,3,1,0,1,1,0,4,0,10.417369892820716
8.0,18,4,0,1,0,0,0,12,134,29.13583000190556
8.0,18,5,0,1,0,0,0,12,114,29.193490045145154
8.0,18,6,1,0,1,1,0,8,0,19.768845988437533
8.0,18,7,1,0,1,1,0,8,0,19.88300494849682
8.0,18,8,1,0,1,1,0,6,0,15.092778019607067
8.0,18,9,0,1,0,0,0,12,128,29.196160146966577
8.0,18,10,0,1,0,0,0,12,137,29.189090011641383
8.0,18,11,1,0,1,1,0,3,0,8.0529919359833
8.0,18,12,1,0,1,1,0,9,0,22.119903936982155
8.0,18,13,0,1,0,0,0,12,123,29.331009835004807
8.0,18,14,0,1,0,0,0,12,123,29.200529912486672
8.0,18,15,1,0,1,1,0,7,0,17.44027715176344
8.0,18,16,1,0,1,1,0,5,0,12.814589077606797
8.0,18,17,1,0,1,1,0,6,0,15.101318014785647
8.0,18,18,1,0,1,1,0,8,0,19.852753961458802
8.0,18,19,1,0,1,1,0,3,0,8.033421821892262
8.0,18,20,0,1,0,0,0,12,141,29.17647990398109
8.0,18,21,0,1,0,0,0,12,124,29.463558923453093
8.0,18,22,0,1,0,0,0,12,111,29.183039907366037
8.0,18,23,1,0,1,1,0,3,0,8.071121061220765
8.0,18,24,0,1,0,0,0,12,133,29.26616999320686
8.0,18,25,1,0,1,1,0,6,0,15.089167980477214
8.0,18,26,0,1,0,0,0,12,125,29.37231888063252
8.0,18,27,0,1,0,0,0,12,128,29.366889037191868
8.0,18,28,0,1,0,0,0,12,135,29.54486897215247
8.0,18,29,0,1,0,0,0,12,132,29.306139796972275
8.0,18,30,1,0,1,1,0,4,0,10.401079896837473
8.0,18,31,1,0,1,1,0,4,0,10.425969958305359
8.0,18,32,1,0,1,1,0,4,0,10.409619892016053
8.0,18,33,1,0,1,1,0,6,0,15.071227913722396
8.0,18,34,1,0,1,1,0,6,0,15.121127013117075
8.0,18,35,1,0,1,1,0,4,0,10.330640943720937
8.0,18,36,1,0,1,1,0,12,0,29.340000124648213
8.0,18,37,0,1,0,0,0,12,123,29.126330045983195
8.0,18,38,0,1,0,0,0,12,134,29.166220920160413
8.0,18,39,1,0,1,1,0,3,0,8.042770903557539
8.0,18,40,1,0,1,1,0,4,0,10.445549851283431
