ebn0_db,decoder,net_success_gain_over_ldpc
10.0,final_llr_grand,0.029312499999999964
10.0,final_llr_grand_capmatched,0.029562500000000047
10.0,guard_plus_best_syndrome,0.031000000000000028
10.0,ldpc_only,0.0
10.0,memotta_grand,0.030874999999999986
10.0,oracle_best_llr,0.03293749999999995
10.0,selector_llr_grand,0.018124999999999947
11.0,final_llr_grand,0.01693749999999994
11.0,final_llr_grand_capmatched,0.017312499999999953
11.0,guard_plus_best_syndrome,0.017999999999999905
11.0,ldpc_only,0.0
11.0,memotta_grand,0.017812499999999898
11.0,oracle_best_llr,0.019499999999999962
11.0,selector_llr_grand,0.010187499999999905
12.0,final_llr_grand,0.013000000000000012
12.0,final_llr_grand_capmatched,0.013125000000000053
12.0,guard_plus_best_syndrome,0.013437499999999991
12.0,ldpc_only,0.0
12.0,memotta_grand,0.013375000000000026
12.0,oracle_best_llr,0.014062499999999978
12.0,selector_llr_grand,0.007125000000000048
13.0,final_llr_grand,0.010750000000000037
13.0,final_llr_grand_capmatched,0.010875000000000079
13.0,guard_plus_best_syndrome,0.011187500000000017
13.0,ldpc_only,0.0
13.0,memotta_grand,0.011187500000000017
13.0,oracle_best_llr,0.011937500000000045
13.0,selector_llr_grand,0.0056875000000000675
14.0,final_llr_grand,0.010749999999999926
14.0,final_llr_grand_capmatched,0.010749999999999926
14.0,guard_plus_best_syndrome,0.011187499999999906
14.0,ldpc_only,0.0
14.0,memotta_grand,0.010999999999999899
14.0,oracle_best_llr,0.011499999999999955
14.0,selector_llr_grand,0.005124999999999935
